timestamp,x,y,jump
19.809781,135,76,0
19.839064,128,76,0
19.868858,94,76,0
19.899929,65,76,0
19.932534,53,76,0
19.96739,53,76,0
19.998453,53,76,0
20.029893,53,76,0
20.063123,53,76,0
20.094474,53,76,0
20.127871,54,76,0
20.161547,55,76,0
20.200771,59,76,0
20.228921,63,76,0
20.261041,72,76,0
20.29644,80,76,0
20.327765,88,76,0
20.366698,98,76,0
20.400899,173,76,0
20.435436,301,76,0
20.469521,413,76,0
20.498729,472,76,0
20.537577,530,76,0
20.569389,557,76,0
20.599482,571,76,0
20.630107,584,76,0
20.665459,666,76,0
20.693947,760,76,0
20.729787,851,76,0
20.76219,902,76,0
20.794254,931,76,0
20.827352,950,76,0
20.860071,990,76,0
20.892654,1609,76,0
20.924697,1667,76,0
20.957253,1698,76,0
20.993881,1711,76,0
21.026977,1716,76,0
21.061882,1725,76,0
21.094786,1727,76,0
21.129909,1727,76,0
21.165916,1730,76,0
21.197218,1745,76,0
21.23104,1761,76,0
21.265404,1775,76,0
21.295541,1787,76,0
21.330408,1798,76,0
21.363619,1809,76,0
21.396295,1817,76,0
21.799354,199,166,0
21.831253,199,166,0
21.863204,198,166,0
21.899365,204,166,0
21.934127,751,166,0
21.967133,788,166,0
21.99749,817,166,0
22.034808,844,166,0
22.065946,857,166,0
22.097238,865,166,0
22.132005,872,166,0
22.164866,880,166,0
22.201342,1135,166,0
22.233334,1461,166,0
22.266598,1484,166,0
22.298153,1499,166,0
22.331532,1506,166,0
22.361978,1513,166,0
22.394165,1527,166,0
22.429397,1534,166,0
22.461582,1540,166,0
22.496322,1546,166,0
22.531509,1616,166,0
22.563968,1679,166,0
22.597829,1726,166,0
22.635885,1758,166,0
22.666772,1776,166,0
22.697548,1790,166,0
22.73181,1803,166,0
22.764339,1812,166,0
22.795559,1819,166,0
22.8278,1823,166,0
22.862391,1829,166,0
22.895709,1821,166,0
22.930972,1829,166,0
22.965677,1836,166,0
22.998128,1842,166,0
23.263491,249,255,0
23.298694,205,255,0
23.331432,183,255,0
23.366163,170,255,0
23.400113,161,255,0
23.433756,150,255,0
23.46603,142,255,0
23.498915,138,255,0
23.529983,135,255,0
23.563864,132,255,0
23.596577,129,255,0
23.630878,127,255,0
23.663106,127,255,0
23.697025,128,255,0
23.729695,128,255,0
23.76241,132,255,0
23.793813,191,255,0
23.828694,267,255,0
23.86066,329,255,0
23.899695,378,255,0
23.934547,407,255,0
23.967613,429,255,0
23.999238,441,255,0
24.030471,453,255,0
24.066921,539,255,0
24.099392,619,255,0
24.131949,675,255,0
24.16746,714,255,0
24.200146,739,255,0
24.233768,759,255,0
24.265957,791,255,0
24.297862,1106,255,0
24.330177,1155,255,0
24.363899,1186,255,0
24.398162,1205,255,0
24.431281,1220,255,0
24.462082,1230,255,0
24.49793,1238,255,0
24.530732,1276,255,0
24.562942,1383,255,0
24.599902,1491,255,0
24.634623,1562,255,0
24.66601,1603,255,0
24.702078,1638,255,0
24.732417,1667,255,0
24.767546,1718,255,0
24.800167,1755,255,0
24.829334,1770,255,0
24.864722,1780,255,0
24.895465,1793,255,0
24.930555,1803,255,0
24.961544,1810,255,0
24.999445,1818,255,0
25.029528,1821,255,0
25.06144,1823,255,0
25.093571,1823,255,0
25.12758,1822,255,0
25.398399,238,351,0
25.432553,229,351,0
25.465478,224,351,0
25.496789,223,351,0
25.53056,219,351,0
25.564629,213,351,0
25.596113,211,351,0
25.633449,211,351,0
25.663227,212,351,0
25.696073,211,351,0
25.734134,211,351,0
25.762764,246,351,0
25.800709,323,351,0
25.827781,371,351,0
25.861329,427,351,0
25.895197,471,351,0
25.926434,498,351,0
25.96021,580,351,0
25.994869,692,351,0
26.02711,750,351,0
26.060632,789,351,0
26.095728,811,351,0
26.132902,829,351,0
26.163183,836,351,0
26.196915,843,351,0
26.23108,847,351,0
26.267169,1085,351,0
26.298103,1118,351,0
26.330834,1145,351,0
26.367095,1163,351,0
26.399533,1180,351,0
26.431829,1192,351,0
26.464534,1201,351,0
26.500185,1206,351,0
26.532441,1210,351,0
26.563483,1211,351,0
26.600673,1228,351,0
26.631042,1688,351,0
26.664642,1688,351,0
26.700039,1685,351,0
26.734226,1685,351,0
26.767485,1685,351,0
26.799777,1686,351,0
26.832055,1687,351,0
26.863737,1696,351,0
26.898219,1717,351,0
26.929889,1733,351,0
26.965656,1748,351,0
26.996844,1758,351,0
27.030126,1768,351,0
27.062595,1774,351,0
27.097881,1781,351,0
27.12973,1788,351,0
27.161684,1793,351,0
27.499737,152,436,0
27.531813,147,436,0
27.561975,143,436,0
27.59658,140,436,0
27.629339,138,436,0
27.662496,137,436,0
27.696937,139,436,0
27.732516,184,436,0
27.764601,251,436,0
27.79956,317,436,0
27.830592,361,436,0
27.866622,405,436,0
27.897203,431,436,0
27.931231,488,436,0
27.962955,953,436,0
27.996527,953,436,0
28.03143,954,436,0
28.067064,956,436,0
28.098578,960,436,0
28.131323,965,436,0
28.162688,966,436,0
28.200502,1018,436,0
28.228184,1053,436,0
28.260597,1095,436,0
28.294339,1133,436,0
28.332424,1166,436,0
28.363168,1187,436,0
28.394423,1260,436,0
28.427892,1396,436,0
28.462095,1478,436,0
28.4968,1528,436,0
28.529107,1546,436,0
28.565226,1564,436,0
28.596683,1573,436,0
28.632263,1580,436,0
28.664749,1583,436,0
28.698127,1632,436,0
28.73296,1672,436,0
28.768336,1705,436,0
28.799923,1731,436,0
28.831786,1747,436,0
28.867336,1761,436,0
28.898543,1771,436,0
28.932067,1779,436,0
28.96345,1785,436,0
28.993832,1796,436,0
29.028269,1805,436,0
29.06367,1814,436,0
29.330614,312,526,0
29.36688,298,526,0
29.397816,285,526,0
