index,x,y
31.062422,414,480
31.095884,345,486
31.130697,305,495
31.16673,275,506
31.198201,260,515
31.23588,253,521
31.263641,218,526
31.298608,187,528
31.329831,164,531
31.363458,145,533
31.397121,131,534
31.433843,123,537
31.464263,117,537
31.500086,112,539
31.530519,109,540
31.566143,105,540
31.598826,101,541
31.631789,109,540
31.667986,354,539
31.701958,394,538
31.734391,421,537
31.766925,447,536
31.801778,468,536
31.83087,478,535
31.861192,511,534
31.896427,596,533
31.932105,658,531
31.961283,694,530
31.998441,724,530
32.033009,741,530
32.065583,758,531
32.097786,767,532
32.135242,776,533
32.165983,791,533
32.201653,833,532
32.233667,865,531
32.266215,892,530
32.299376,916,529
32.329535,934,528
32.361998,947,527
32.395137,959,525
32.430217,1025,524
32.464216,1139,521
32.499315,1223,520
32.533794,1276,519
32.564888,1304,520
32.597537,1327,522
32.63322,1358,522
32.666407,1432,521
32.698965,1481,519
32.732603,1513,519
32.765939,1538,519
32.801322,1558,520
32.830739,1567,522
32.8651,1574,526
32.901013,1579,529
32.933049,1586,532
32.9701,1585,535
32.995995,1001,554
33.029989,383,573
33.063023,329,586
33.097215,277,600
33.129882,250,610
33.162668,232,617
33.200146,214,625
33.233223,207,630
33.263897,204,633
33.294732,200,634
33.328677,198,636
33.360103,197,637
33.396668,196,637
33.428748,195,636
33.463739,195,636
33.498686,203,636
33.531037,272,635
33.564001,359,633
33.599261,425,632
33.632968,472,631
33.665127,512,631
33.699308,540,630
33.73007,644,628
33.764117,779,625
33.796817,855,623
33.830652,898,621
33.864067,930,621
33.894263,946,620
33.930675,957,620
33.965923,1013,618
33.996933,1103,614
34.033468,1184,612
34.068353,1229,611
34.097497,1249,611
34.134348,1267,611
34.168016,1294,611
34.200761,1380,610
34.23399,1453,609
34.266524,1502,609
34.296217,1541,610
34.330736,1573,612
34.363829,1596,611
34.394679,1604,612
34.430104,1604,613
34.462207,1611,614
34.496773,1613,616
34.530347,1604,616
34.564098,627,646
34.598727,316,662
34.630345,270,677
34.662663,238,691
34.699797,212,702
34.73457,192,710
34.768509,182,715
34.798989,173,718
34.836329,164,720
34.867102,163,726
34.897512,161,733
34.933401,163,741
34.966275,162,749
34.997395,163,756
35.0295,175,759
35.064846,637,752
35.096733,637,753
35.131791,635,755
35.164826,635,755
35.198104,634,756
35.230007,634,757
35.265613,640,760
35.298259,700,759
35.334723,764,757
