timestamp,x,y,jump
17.407102,8970,76,0
17.438059,507,76,0
17.46902,-3551,76,0
17.500533,-7251,76,0
17.53196,-6970,76,0
17.56449,-6029,76,0
17.594052,-4113,76,0
17.626532,-2890,76,0
17.657637,-2458,76,0
17.691365,-2652,76,0
17.723887,-2663,76,0
17.757015,-2165,76,0
17.791804,-1516,76,0
17.824737,-1300,76,0
17.857784,-607,76,0
17.890947,-99,76,0
17.925361,85,76,0
17.961673,194,76,0
17.997056,594,76,0
18.031024,810,76,0
18.064255,1103,76,0
18.098316,1503,76,0
18.133169,1503,76,0
18.168901,1871,76,0
18.202058,1763,76,0
18.23608,1839,76,0
18.270917,1839,76,0
18.530012,659,166,0
18.562703,443,166,0
18.594322,410,166,0
18.625734,269,166,0
18.659626,53,166,0
18.693157,129,166,0
18.726761,204,166,0
18.763246,388,166,0
18.795313,464,166,0
18.828053,724,166,0
18.860796,800,166,0
18.895183,875,166,0
18.928458,1059,166,0
18.961185,1319,166,0
18.994332,1579,166,0
19.027767,1579,166,0
19.060874,1579,166,0
19.094159,1763,166,0
19.126562,1871,166,0
19.159911,1871,166,0
