timestamp,x,y
1770713836.800911,823,768
1770713836.811869,798,682
1770713836.820555,845,632
1770713836.832436,829,693
1770713836.842721,824,700
1770713836.855891,972,709
1770713836.866275,964,737
1770713836.878028,1070,947
1770713836.888083,1022,736
1770713836.89936,1074,728
1770713836.909208,1005,734
1770713836.919962,1046,796
1770713836.929269,1043,729
1770713836.940678,1050,780
1770713836.949785,1135,675
1770713836.961621,1170,637
1770713836.970522,1188,653
1770713836.983118,1182,646
1770713837.011728,1184,644
1770713837.036604,1184,566
1770713837.050598,1183,595
1770713837.062274,1168,666
1770713837.075298,1211,525
1770713837.087448,1186,560
1770713837.097561,1205,533
1770713837.10928,1224,553
1770713837.118696,1203,508
1770713837.129802,1197,542
1770713837.139226,1226,561
1770713837.15043,1248,521
1770713837.159969,1248,497
1770713837.171975,1248,536
1770713837.181392,1156,590
1770713837.303832,184,468
1770713837.315881,201,472
1770713837.32466,143,502
1770713837.336155,169,504
1770713837.345433,206,471
1770713837.356433,123,473
1770713837.376397,285,454
1770713837.387222,234,452
1770713837.398272,259,377
1770713837.40793,270,338
1770713837.420067,257,483
1770713837.429494,290,376
1770713837.4409,372,540
1770713837.450078,311,533
1770713837.461712,419,505
1770713837.471158,417,474
1770713837.482418,424,525
1770713837.492265,482,575
1770713837.504203,503,577
1770713837.513467,684,615
1770713837.524842,682,626
1770713837.786014,1013,609
1770713837.797105,890,628
1770713837.807049,935,596
1770713837.818462,1068,619
1770713837.827601,1099,702
1770713837.838779,1135,698
1770713837.848577,1124,649
1770713837.860345,1219,601
1770713837.869929,1231,640
1770713837.880488,1362,500
1770713837.889618,1385,637
1770713837.900481,1285,679
1770713837.909416,1316,704
1770713837.921088,1291,594
1770713837.930903,1200,536
1770713837.94114,1204,512
1770713837.95075,1279,456
1770713837.961945,1347,371
1770713837.971041,1369,451
1770713837.982078,1378,556
1770713837.995062,1391,523
1770713838.006026,1380,596
1770713838.014768,1356,612
1770713838.026187,1381,652
1770713838.035307,1362,660
1770713838.04618,1371,589
1770713838.054996,1405,619
1770713838.066476,1480,620
1770713838.075949,1464,536
1770713838.087925,1470,453
1770713838.097407,1390,574
1770713838.108508,1504,537
1770713838.117981,1387,568
1770713838.129801,1368,557
1770713838.139458,1402,541
1770713838.150475,1436,555
1770713838.160241,1364,512
1770713838.171319,1351,550
1770713838.180255,1439,657
1770713838.191196,1494,657
1770713838.200053,1517,671
1770713838.21156,1481,835
1770713838.221036,1467,691
1770713838.232674,1432,721
1770713838.242246,1464,664
1770713838.253804,1412,638
1770713838.263042,1407,634
1770713838.274525,1415,659
1770713838.283962,1358,706
1770713838.29557,1405,611
1770713838.304782,1382,592
1770713838.317285,1455,541
1770713838.326795,1420,479
1770713838.337709,1428,415
1770713838.346848,1427,466
1770713838.35843,1461,504
1770713838.36758,1455,467
1770713838.378191,1498,527
1770713838.387826,1461,552
1770713838.399505,1463,608
1770713838.408603,1429,554
1770713838.420075,1418,585
1770713838.429207,1392,664
1770713838.441027,1472,572
1770713838.449802,1324,665
1770713838.462028,1337,700
1770713838.471282,1391,675
1770713838.48316,1432,631
1770713838.49226,1436,595
1770713838.503989,1357,642
1770713838.512663,1369,628
1770713838.524101,1397,614
1770713838.533544,1389,622
1770713838.545291,1384,621
1770713838.554145,1382,580
1770713838.564756,1362,553
1770713838.574296,1356,601
