index,x,y
32.062154,1507,396
32.095989,1506,397
32.128262,1502,397
32.160933,1511,397
32.194744,1540,396
32.230903,1566,395
32.26367,1591,394
32.296203,1611,394
32.329329,1628,394
32.363693,1648,393
32.397952,1655,393
32.431898,1667,392
32.465389,1678,392
32.499215,1692,392
32.533073,1701,392
32.564978,1709,393
32.59941,1715,393
32.63183,1719,393
32.664193,1724,393
32.695443,1728,393
32.730829,1727,394
32.764737,1727,394
32.799643,1726,394
32.832178,1725,395
32.865146,1725,395
32.89729,1724,395
32.932091,1721,396
32.965285,1679,396
32.996979,1186,403
33.035061,931,400
33.063493,915,399
33.096564,907,398
33.130187,903,397
33.160099,179,396
33.19509,180,398
33.230928,184,401
33.265746,189,405
33.294877,187,406
33.329338,188,410
33.364396,187,414
33.398118,187,418
33.428932,187,423
33.465434,187,428
33.500934,185,435
33.528173,183,440
33.56116,216,446
33.59537,278,454
33.631544,341,460
33.662878,389,463
33.697932,431,465
33.730107,456,465
33.765477,477,466
33.794085,496,467
33.829782,576,467
33.863415,669,468
33.898487,744,467
33.930551,788,467
33.966013,842,472
33.997781,857,472
34.033282,867,473
34.064548,874,472
34.097543,950,472
34.13076,1068,470
34.165495,1163,468
34.199181,1218,465
34.231321,1258,463
34.26563,1291,460
34.296035,1309,457
34.331005,1338,451
34.364622,1479,449
34.399895,1596,448
34.432264,1674,446
34.465873,1722,446
34.497671,1755,445
34.529762,1777,444
34.561656,1791,444
34.597659,1800,444
34.630379,1803,444
34.664031,1805,444
34.695179,1807,443
34.73051,1807,443
34.761889,1806,444
34.798407,1805,444
34.829754,1801,444
34.866035,1800,444
34.899117,1798,445
34.932239,1766,446
34.96287,770,456
34.996134,427,455
35.029414,363,458
35.063568,321,461
35.09677,295,462
35.129765,282,463
35.164155,265,463
35.193188,257,464
35.228913,246,469
35.263706,243,472
35.299573,242,473
35.328425,240,475
35.363371,240,478
35.398088,240,481
35.430089,239,486
35.46563,239,490
35.496877,243,493
35.53103,268,499
35.563876,306,503
35.594867,338,505
35.631121,370,507
35.665738,398,509
35.698349,481,509
35.730299,601,510
35.763874,686,512
35.796394,741,513
35.829153,789,513
35.863532,816,514
35.895367,838,516
35.931027,926,517
35.964659,989,518
35.998805,1026,519
36.032559,1057,521
36.062951,1069,521
36.096321,1085,523
36.129006,1095,525
36.165438,1101,525
36.198454,1135,525
36.230539,1270,526
36.264873,1377,526
36.299058,1449,527
36.333118,1494,527
36.363822,1523,528
36.397462,1542,528
36.431703,1554,530
36.463738,1560,530
36.495269,1567,531
36.529547,1568,531
36.561586,1567,533
36.594598,1570,535
36.628345,1571,537
36.661254,1564,541
36.692698,876,559
36.729084,348,575
36.760314,340,585
36.795367,334,594
36.828723,326,600
36.860783,319,610
36.894616,315,619
36.934906,310,626
36.967076,308,630
36.996831,306,632
37.031479,303,636
37.065174,311,641
37.100534,324,645
37.131756,345,648
37.164742,382,651
37.19367,412,652
37.227488,447,653
37.261233,470,652
37.294327,558,651
37.331198,905,661
37.361773,946,665
37.398451,969,669
37.429567,985,669
37.463601,997,670
37.496539,1002,670
37.53219,1062,672
37.565007,1106,676
37.595039,1138,679
37.627861,1172,684
37.66146,1198,687
37.695199,1225,689
37.72967,1295,688
37.76524,1364,688
37.799394,1419,689
37.830805,1454,690
37.863388,1479,688
37.89758,1500,687
37.929196,1506,684
37.965593,1513,681
37.997383,1517,678
38.029332,1519,675
38.062209,1523,672
38.098931,1526,670
38.128533,1526,668
38.162682,1525,665
38.196311,1521,664
38.230427,730,669
38.265091,401,673
38.297462,352,679
38.331874,311,690
38.365119,285,703
38.397444,260,715
38.432816,241,721
38.462276,231,727
38.496507,220,734
38.532776,217,740
38.564089,216,742
38.596307,210,747
38.629466,206,752
38.661874,205,760
38.696047,216,759
38.729488,493,761
38.763022,543,759
38.797636,594,758
38.832346,632,757
38.862715,656,757
38.897507,677,755
38.930464,706,752
38.964792,1260,749
38.996864,1273,747
39.030297,1294,745
39.062343,1303,742
39.095636,1311,739
39.128945,1321,738
39.164269,1322,736
39.197267,1371,731
39.227778,1459,730
39.262175,1544,730
39.296058,1607,729
39.329262,1642,727
39.362899,1668,724
39.398585,1683,723
39.432224,1697,720
39.465052,1705,720
39.49977,1708,717
39.534416,1707,713
39.566052,1711,710
39.603081,1711,706
39.633729,1713,705
39.663387,1716,703
39.694505,1717,701
39.73093,1715,698
39.763794,1716,697
39.797365,1704,697
39.829676,863,702
39.859949,505,709
39.892592,447,720
39.927285,399,735
39.957632,378,748
39.994196,345,762
40.028761,247,767
40.062515,190,771
40.094708,162,772
40.129911,140,773
40.162534,124,773
40.196867,114,773
40.230888,102,773
40.265185,94,773
40.298024,95,773
40.333705,97,772
40.363164,98,771
40.396319,100,770
40.430758,101,769
40.462992,102,768
40.494702,111,768
40.530811,393,771
40.562214,425,774
40.593674,454,777
40.626929,484,782
40.663495,499,784
40.695338,541,797
40.729517,571,809
40.765634,682,829
40.797202,761,840
40.831171,818,851
40.865228,857,855
