timestamp,x,y,jump
20.712302,558,76,0
20.742131,236,76,0
20.772743,209,76,0
20.803809,162,76,0
20.837551,133,76,0
20.86764,117,76,0
20.899999,107,76,0
20.930973,106,76,0
20.966002,105,76,0
20.995547,99,76,0
21.029484,97,76,0
21.060412,96,76,0
21.092696,96,76,0
21.125986,97,76,0
21.158767,97,76,0
21.193447,98,76,0
21.227363,99,76,0
21.259714,99,76,0
21.29287,98,76,0
21.328258,97,76,0
21.362483,96,76,0
21.398946,95,76,0
21.431137,94,76,0
21.461924,93,76,0
21.498033,91,76,0
21.532238,91,76,0
21.565156,90,76,0
21.596296,90,76,0
21.628109,90,76,0
21.662376,90,76,0
21.694805,90,76,0
21.728467,90,76,0
21.758823,90,76,0
21.791569,90,76,0
21.824667,90,76,0
21.859301,90,76,0
21.895552,90,76,0
21.928492,90,76,0
21.961675,89,76,0
21.998466,90,76,0
22.0323,90,76,0
22.064536,90,76,0
22.096719,90,76,0
22.133139,89,76,0
22.165701,89,76,0
22.199635,88,76,0
22.233536,87,76,0
22.267269,87,76,0
22.301829,87,76,0
22.335627,86,76,0
22.368309,86,76,0
22.400484,85,76,0
22.432125,85,76,0
22.464261,86,76,0
22.496561,88,76,0
22.531676,125,76,0
22.561221,171,76,0
22.593624,223,76,0
22.626295,270,76,0
22.65908,305,76,0
22.692588,333,76,0
22.725268,353,76,0
22.757633,368,76,0
22.790492,414,76,0
22.823216,449,76,0
22.858124,476,76,0
22.892098,491,76,0
22.926475,504,76,0
22.958876,519,76,0
22.993545,599,76,0
23.027056,667,76,0
23.060217,715,76,0
23.097499,750,76,0
23.129499,780,76,0
23.162734,802,76,0
23.196837,823,76,0
23.230639,924,76,0
23.26218,1002,76,0
23.294363,1057,76,0
23.328544,1094,76,0
23.361076,1117,76,0
23.394474,1149,76,0
23.427813,1516,76,0
23.462598,1585,76,0
23.493911,1625,76,0
23.526473,1654,76,0
23.561006,1672,76,0
23.595606,1677,76,0
23.632447,1682,76,0
23.664634,1689,76,0
23.699388,1693,76,0
23.735734,1721,76,0
23.765119,1743,76,0
23.79775,1767,76,0
23.829458,1788,76,0
23.870713,1815,76,0
23.907945,1830,76,0
23.933344,1841,76,0
23.965845,1854,76,0
23.997156,1857,76,0
24.032545,1864,76,0
