timestamp,x,y
1771005001.398793,1236,1192
1771005001.408548,1186,1160
1771005001.420255,1157,1052
1771005001.429533,1225,1072
1771005001.441267,1179,1050
1771005001.450629,1384,1142
1771005001.463201,1445,1089
1771005001.472851,1572,1042
1771005001.483512,1319,1060
1771005001.493328,1510,1092
1771005001.504067,1681,1067
1771005001.513197,1524,866
1771005001.523979,1441,1132
1771005001.533511,1515,1075
1771005001.544614,1490,1008
1771005001.55394,1559,1034
1771005001.565977,1529,1040
1771005001.5748,1576,1032
1771005001.585959,1545,1021
1771005001.595166,1583,1003
1771005001.607464,1593,1012
1771005001.617019,1471,993
1771005001.628819,1495,967
1771005001.63841,1538,979
1771005001.650238,1560,990
1771005001.659579,1499,992
1771005001.670766,1534,1006
1771005001.680646,1586,949
1771005001.691709,1597,980
1771005001.70104,1644,1007
1771005001.712578,1625,955
1771005001.721854,1610,984
1771005001.732575,1636,988
1771005001.741601,1652,997
1771005001.753335,1612,951
1771005001.762655,1617,956
1771005001.773749,1598,934
1771005001.783434,1783,895
1771005001.794773,1756,892
1771005001.803825,1767,917
1771005001.81508,1820,898
1771005001.825172,1885,935
1771005001.836677,1878,926
1771005001.846265,1928,890
1771005001.857202,1984,950
1771005001.866274,2158,961
1771005001.927627,2529,965
1771005001.938867,2476,942
1771005001.948636,2519,1009
1771005001.961552,2498,971
1771005001.971064,2582,965
1771005001.982564,2627,962
1771005001.992534,2636,965
1771005002.004071,2636,967
1771005002.013789,2689,905
1771005002.024752,2734,829
1771005002.034394,2991,808
1771005002.045622,2811,866
1771005002.055243,2855,845
1771005002.066271,2932,843
1771005002.075677,2771,845
1771005002.086706,2769,869
1771005002.095782,2777,875
1771005002.106988,2832,920
1771005002.11664,2819,877
1771005002.128323,2863,885
1771005002.137574,2782,828
1771005002.149138,2813,862
1771005002.158329,2855,874
1771005002.169748,2800,891
1771005002.178826,2831,880
1771005002.190747,2778,868
1771005002.200059,2724,916
1771005002.211162,2731,945
1771005002.289432,2730,932
1771005002.301087,2856,887
1771005002.310083,2802,905
1771005002.320779,2719,875
1771005002.330346,2295,876
1771005002.341801,1684,1062
1771005002.351071,1516,1143
1771005002.361863,1449,1239
1771005002.371048,1400,1264
1771005002.383135,1459,1253
1771005002.392477,1412,1256
1771005002.404253,1411,1225
1771005002.414026,1418,1231
1771005002.424559,1395,1224
1771005002.434448,1391,1284
1771005002.44658,1413,1222
1771005002.4558,1367,1298
1771005002.466438,1416,1342
1771005002.476301,1513,1270
1771005002.487554,1460,1303
1771005002.496837,1464,1309
1771005002.508048,1526,1310
1771005002.517232,1517,1318
1771005002.528235,1526,1319
1771005002.538206,1506,1379
1771005002.550474,1479,1325
1771005002.559989,1539,1297
1771005002.571389,1612,1293
1771005002.581398,1552,1280
1771005002.592972,1659,1260
1771005002.601908,1575,1266
1771005002.612974,1613,1256
1771005002.623128,1624,1273
1771005002.634258,1511,1281
1771005002.643694,1496,1334
1771005002.655365,1446,1334
1771005002.664142,1539,1309
1771005002.675267,1540,1282
1771005002.685779,1563,1269
1771005002.69682,1597,1265
1771005002.706373,1646,1268
1771005002.717596,1662,1276
1771005002.727338,1708,1230
1771005002.73898,1683,1210
1771005002.748703,1811,1194
1771005002.760758,1780,1213
1771005002.76971,1742,1229
1771005002.780652,1652,1248
1771005002.789586,1703,1253
1771005002.801266,1704,1193
1771005002.810066,1748,1161
1771005002.821245,1637,1248
1771005002.83088,1761,1225
1771005002.842752,1691,1242
1771005002.853781,1761,1174
1771005002.864955,2111,1229
1771005002.87484,2032,1205
1771005002.88633,2037,1205
1771005002.895947,2041,1200
1771005002.907126,2060,1175
1771005002.916314,2114,1203
1771005002.927487,2094,1250
1771005002.937223,2135,1239
1771005002.948969,2084,1238
1771005002.958215,2022,1172
1771005002.969191,2090,1156
1771005002.978997,2062,1177
1771005002.98985,2037,1156
1771005003.000003,2059,1129
1771005003.010572,2001,1184
1771005003.020756,2074,1138
1771005003.031917,2106,1168
1771005003.041414,2150,1224
1771005003.052813,2227,1194
1771005003.062814,2287,1236
1771005003.073639,2252,1266
1771005003.083034,2286,1247
1771005003.094926,2309,1255
1771005003.10445,2348,1241
1771005003.115535,2353,1224
1771005003.125349,2246,1170
1771005003.136783,2256,1147
1771005003.147032,2281,1152
1771005003.158261,2328,1152
