timestamp,x,y,jump,saccade
1771004999.043374,549,246,0,0
1771004999.055387,839,502,0,0
1771004999.065163,737,387,0,0
1771004999.076727,754,389,0,0
1771004999.085926,563,327,0,0
1771004999.097062,466,367,0,0
1771004999.106541,572,426,0,0
1771004999.117472,544,394,0,0
1771004999.126619,427,287,0,0
1771004999.137646,536,342,0,0
1771004999.147136,471,326,0,0
1771004999.158654,487,362,0,0
1771004999.168101,461,372,0,0
1771004999.178908,434,339,0,0
1771004999.188273,579,325,0,0
1771004999.19868,595,331,0,0
1771004999.207845,620,347,0,0
1771004999.219056,621,349,0,0
1771004999.228634,582,314,0,0
1771004999.239656,621,231,0,0
1771004999.249714,688,196,0,0
1771004999.261079,746,186,0,0
1771004999.270784,819,221,0,0
1771004999.281615,958,310,0,0
1771004999.291424,848,222,0,0
1771004999.302097,740,224,0,0
1771004999.311011,748,184,0,0
1771004999.32273,793,140,0,0
1771004999.331952,780,121,0,0
1771004999.342896,886,188,0,0
1771004999.351818,896,171,0,0
1771004999.363122,913,206,0,0
1771004999.371688,949,266,0,0
1771004999.382093,984,342,0,0
1771004999.39224,993,262,0,0
1771004999.402914,839,195,0,0
1771004999.41201,897,292,0,0
1771004999.422283,984,250,0,0
1771004999.432307,1109,323,0,0
1771004999.443431,1128,350,0,0
1771004999.4531,1222,337,0,0
1771004999.463753,1103,293,0,0
1771004999.473074,971,159,0,0
1771004999.483834,1077,211,0,0
1771004999.49348,1009,161,0,0
1771004999.50517,1007,135,0,0
1771004999.514456,991,115,0,0
1771004999.525853,1005,148,0,0
1771004999.535882,1019,160,0,1
1771004999.547988,1063,230,0,1
1771004999.559023,1083,257,0,1
1771004999.570518,1364,464,0,1
1771004999.63202,1404,571,0,0
1771004999.641273,1399,571,0,0
1771004999.652908,1286,532,0,0
1771004999.694455,1523,549,0,0
1771004999.704085,1326,614,0,0
1771004999.715487,1410,621,0,0
1771004999.725566,1443,605,0,0
1771004999.735972,1492,577,0,0
1771004999.745499,1452,570,0,0
1771004999.756808,1433,539,0,0
1771004999.766163,1441,534,0,0
1771004999.777065,1484,526,0,0
1771004999.787158,1534,539,0,0
1771004999.79858,1488,548,0,0
1771004999.808568,1424,488,0,0
1771004999.81941,1446,505,0,0
1771004999.828999,1477,573,0,0
1771004999.840216,1473,517,0,0
1771004999.849663,1465,531,0,0
1771004999.861256,1489,498,0,0
1771004999.870611,1541,486,0,0
1771004999.881504,1523,493,0,0
1771004999.891506,1505,457,0,0
1771004999.903176,1468,448,0,0
1771004999.912407,1413,428,0,0
1771004999.923851,1370,478,0,0
1771004999.933144,1330,445,0,0
1771004999.944164,1356,459,0,0
1771004999.953274,1412,438,0,0
1771004999.963996,1419,424,0,0
1771004999.973968,1448,425,0,0
1771004999.985107,1139,258,1,0
1771004999.994888,785,244,1,0
1771005000.006341,500,293,1,0
1771005000.081844,583,305,1,0
1771005000.092712,547,360,1,0
1771005000.101727,405,308,1,0
1771005000.113084,615,393,1,0
1771005000.122564,754,448,0,0
1771005000.134279,591,343,0,0
1771005000.144408,538,345,0,0
1771005000.155896,682,466,0,0
1771005000.165329,725,452,0,0
1771005000.176615,690,478,0,0
1771005000.186503,711,441,0,0
1771005000.197485,674,406,0,0
1771005000.206487,627,463,0,0
1771005000.218633,654,408,0,0
1771005000.227961,634,354,0,0
1771005000.239585,604,242,0,0
1771005000.248977,656,290,0,0
1771005000.261204,629,396,0,0
1771005000.270979,611,394,0,0
1771005000.281463,788,313,0,0
1771005000.291134,862,314,0,0
1771005000.302219,864,408,0,0
1771005000.311784,806,385,0,0
1771005000.322947,897,377,0,0
1771005000.332418,874,316,0,0
1771005000.344101,860,275,0,0
1771005000.353064,872,285,0,0
1771005000.365118,957,323,0,0
1771005000.374045,1040,330,0,0
1771005000.385167,929,347,0,0
1771005000.394817,934,334,0,0
1771005000.406386,924,258,0,0
1771005000.415248,888,251,0,0
1771005000.426741,802,328,0,0
1771005000.43604,927,297,0,0
1771005000.447343,1057,347,0,0
1771005000.457579,1061,344,0,0
1771005000.469204,1039,325,0,0
1771005000.479092,1057,335,0,0
1771005000.490658,1172,285,0,0
1771005000.500255,1096,274,0,0
1771005000.511567,1164,309,0,0
1771005000.520593,1120,289,0,0
1771005000.532112,1204,279,0,0
1771005000.542223,1113,264,0,0
1771005000.554098,1191,250,0,0
1771005000.564208,1161,272,0,0
1771005000.575568,1117,380,0,0
1771005000.58524,1169,341,0,0
1771005000.59717,1193,362,0,0
1771005000.606704,1322,489,0,0
1771005000.617758,1276,494,0,0
1771005000.627867,1253,492,0,0
1771005000.638947,1292,458,0,0
1771005000.649084,1351,491,0,0
1771005000.660798,1352,498,0,0
1771005000.670537,1305,491,0,0
1771005000.681947,1315,411,0,0
1771005000.691583,1389,425,0,0
1771005000.70304,1773,768,0,0
1771005000.76712,1381,541,0,0
1771005000.777453,1299,433,0,0
1771005000.788803,1318,472,0,0
1771005000.798411,1325,464,0,0
1771005000.810256,1330,483,0,0
1771005000.819602,1344,430,0,0
1771005000.831815,1381,425,0,0
1771005000.893254,1385,698,0,0
1771005000.903171,1623,623,0,0
1771005000.914819,1561,565,0,0
1771005000.924471,1614,515,0,0
1771005000.936085,1518,462,0,0
1771005000.945835,1515,485,0,0
1771005000.956628,1537,438,0,0
1771005000.965992,1516,414,0,0
1771005000.977089,1571,464,0,0
1771005000.986851,1655,472,0,0
1771005000.998754,1628,464,0,0
1771005001.008192,1682,505,0,0
1771005001.018668,1768,487,0,0
1771005001.028711,1769,477,0,0
1771005001.03996,1763,491,0,0
1771005001.04954,1711,461,0,0
1771005001.060581,1667,484,0,0
1771005001.07064,1615,513,0,0
1771005001.081381,1592,495,0,0
1771005001.090821,1510,515,0,0
1771005001.169468,1528,446,0,0
1771005001.178367,1514,496,0,0
1771005001.189565,1669,477,0,0
1771005001.19939,1582,513,0,0
1771005001.210736,1583,503,0,0
1771005001.220188,1176,343,1,0
1771005001.231468,746,289,1,0
1771005001.241168,639,324,1,0
1771005001.252325,563,310,1,0
1771005001.261374,473,279,1,0
1771005001.272348,475,194,1,0
1771005001.282194,338,240,1,0
1771005001.292979,351,384,1,0
1771005001.302422,331,306,0,0
1771005001.313905,454,334,0,0
1771005001.323318,423,304,0,0
1771005001.334309,319,270,0,0
1771005001.344781,276,289,0,0
1771005001.355964,185,272,0,0
1771005001.365704,280,301,0,0
1771005001.377597,213,360,0,0
1771005001.387282,279,316,0,0
1771005001.398793,330,322,0,0
1771005001.408548,300,280,0,0
1771005001.420255,307,179,0,0
1771005001.429533,354,216,0,0
1771005001.441267,324,183,0,0
1771005001.450629,457,323,0,0
1771005001.463201,518,295,0,0
1771005001.472851,629,293,0,0
1771005001.483512,429,233,0,0
1771005001.493328,568,317,0,0
1771005001.504067,706,346,0,0
1771005001.513197,638,128,0,0
1771005001.523979,504,331,0,0
1771005001.533511,576,304,0,0
1771005001.544614,575,239,0,0
1771005001.55394,621,282,0,0
1771005001.565977,596,278,0,0
1771005001.5748,634,285,0,0
1771005001.585959,613,267,0,0
1771005001.595166,647,263,0,0
1771005001.607464,653,273,0,0
1771005001.617019,564,221,0,0
1771005001.628819,589,206,0,0
1771005001.63841,619,229,0,0
1771005001.650238,633,245,0,0
1771005001.659579,586,228,0,0
1771005001.670766,609,251,0,0
1771005001.680646,664,217,0,0
1771005001.691709,664,247,0,0
1771005001.70104,693,284,0,0
1771005001.712578,692,234,0,0
1771005001.721854,673,254,0,0
1771005001.732575,692,265,0,0
1771005001.741601,702,278,0,0
1771005001.753335,684,227,0,0
1771005001.762655,686,232,0,0
1771005001.773749,677,208,0,0
1771005001.783434,830,229,0,0
1771005001.794773,810,219,0,0
1771005001.803825,812,243,0,0
1771005001.81508,858,243,0,0
1771005001.825172,898,294,0,0
1771005001.836677,895,284,0,0
1771005001.846265,943,268,0,0
1771005001.857202,970,336,0,0
1771005001.866274,1101,396,0,0
1771005001.927627,1385,509,0,0
1771005001.938867,1350,474,0,0
1771005001.948636,1366,544,0,0
1771005001.961552,1360,505,0,0
1771005001.971064,1426,525,0,0
1771005001.982564,1461,536,0,0
1771005001.992534,1467,541,0,0
1771005002.004071,1467,543,0,0
1771005002.013789,1524,505,0,0
1771005002.024752,1579,454,0,0
1771005002.034394,1782,511,0,0
1771005002.045622,1628,508,0,0
1771005002.055243,1668,503,0,0
1771005002.066271,1727,524,0,0
1771005002.075677,1603,478,0,0
1771005002.086706,1595,498,0,0
1771005002.095782,1600,506,0,0
1771005002.106988,1630,560,0,0
1771005002.11664,1631,520,0,0
1771005002.128323,1663,539,0,0
1771005002.137574,1616,467,0,0
1771005002.149138,1631,505,0,0
1771005002.158329,1660,528,0,0
1771005002.169748,1613,526,0,0
1771005002.178826,1640,526,0,0
1771005002.190747,1602,500,0,0
1771005002.200059,1548,525,0,0
1771005002.211162,1546,552,0,0
1771005002.289432,1548,540,0,0
1771005002.301087,1657,539,0,0
1771005002.310083,1611,539,0,0
1771005002.320779,1555,488,0,0
1771005002.330346,1229,364,1,0
1771005002.341801,709,343,1,0
1771005002.351071,559,362,1,0
1771005002.361863,482,425,1,0
1771005002.371048,437,432,1,0
1771005002.383135,486,440,1,0
1771005002.392477,449,428,1,0
1771005002.404253,456,402,0,0
1771005002.414026,460,409,0,0
1771005002.424559,444,396,0,0
1771005002.434448,425,446,0,0
1771005002.44658,459,400,0,0
1771005002.4558,403,451,0,0
1771005002.466438,429,503,0,0
1771005002.476301,523,470,0,0
1771005002.487554,473,483,0,0
1771005002.496837,475,489,0,0
1771005002.508048,522,508,0,0
1771005002.517232,513,512,0,0
1771005002.528235,520,516,0,0
1771005002.538206,488,561,0,0
1771005002.550474,482,507,0,0
1771005002.559989,535,501,0,0
1771005002.571389,593,519,0,0
1771005002.581398,550,490,0,0
1771005002.592972,638,505,0,0
1771005002.601908,571,485,0,0
1771005002.612974,603,488,0,0
1771005002.623128,607,505,0,0
1771005002.634258,518,479,0,0
1771005002.643694,493,520,0,0
1771005002.655365,454,505,0,0
1771005002.664142,532,511,0,0
1771005002.675267,540,488,0,0
1771005002.685779,561,484,0,0
1771005002.69682,589,491,0,0
1771005002.706373,625,508,0,0
1771005002.717596,636,519,0,0
1771005002.727338,683,493,0,0
1771005002.73898,669,469,0,0
1771005002.748703,772,493,0,0
1771005002.760758,743,500,0,0
1771005002.76971,710,503,0,0
1771005002.780652,635,492,0,0
1771005002.789586,673,512,0,0
1771005002.801266,690,461,0,0
1771005002.810066,732,446,0,0
1771005002.821245,624,488,0,0
1771005002.83088,725,505,0,0
1771005002.842752,667,499,0,0
1771005002.853781,739,461,0,0
1771005002.864955,993,612,0,0
1771005002.87484,939,568,0,0
1771005002.88633,943,569,0,0
1771005002.895947,947,566,0,0
1771005002.907126,969,550,0,0
1771005002.916314,1003,590,0,0
1771005002.927487,975,625,0,0
1771005002.937223,1009,627,0,0
1771005002.948969,970,611,0,0
1771005002.958215,940,537,0,0
1771005002.969191,997,543,0,0
1771005002.978997,970,553,0,0
1771005002.98985,956,527,0,0
1771005003.000003,980,511,0,0
1771005003.010572,921,541,0,0
1771005003.020756,989,523,0,0
1771005003.031917,1006,558,0,0
1771005003.041414,1025,619,0,0
1771005003.052813,1092,616,0,0
1771005003.062814,1127,670,0,0
1771005003.073639,1092,685,0,0
1771005003.083034,1123,679,0,0
1771005003.094926,1139,692,0,0
1771005003.10445,1173,692,0,0
1771005003.115535,1181,679,0,0
1771005003.125349,1113,601,0,0
1771005003.136783,1127,584,0,0
1771005003.147032,1145,596,0,0
1771005003.158261,1181,610,0,0
1771005003.16814,1190,626,0,0
1771005003.178811,1207,654,0,0
1771005003.188615,1356,697,0,0
1771005003.199822,1356,722,0,0
1771005003.208833,1384,783,0,0
1771005003.219963,1414,769,0,0
1771005003.229579,1393,768,0,0
1771005003.241356,1389,753,0,0
1771005003.250358,1327,739,0,0
1771005003.261695,1369,729,0,0
1771005003.271226,1381,719,0,0
1771005003.282759,1270,642,0,0
1771005003.292173,1243,640,0,0
1771005003.304361,1200,658,0,0
1771005003.31396,1222,633,0,0
1771005003.325448,1236,640,0,0
1771005003.334773,1259,700,0,0
1771005003.415153,1314,659,0,0
1771005003.425067,1405,633,0,0
1771005003.437166,1468,637,0,0
1771005003.44656,1481,633,0,0
1771005003.458609,1530,628,0,0
1771005003.46802,1566,646,0,0
1771005003.478412,1598,627,0,0
1771005003.488388,1473,623,0,0
1771005003.499321,1538,582,0,0
1771005003.509274,1508,669,0,0
1771005003.520154,1523,607,0,0
1771005003.530611,1494,621,0,0
1771005003.542109,1530,590,0,0
1771005003.55176,1535,607,0,0
1771005003.562818,1553,619,0,0
1771005003.572379,1522,618,1,0
1771005003.584056,1184,495,1,0
1771005003.593607,578,509,1,0
1771005003.604612,465,516,1,0
1771005003.613864,321,567,1,0
1771005003.624488,149,591,1,0
1771005003.634015,141,670,1,0
1771005003.644864,237,593,0,0
1771005003.654006,51,556,0,0
1771005003.665278,71,692,0,0
1771005003.675701,110,718,0,0
1771005003.686697,59,731,0,0
1771005003.696371,97,759,0,0
1771005003.707834,157,709,0,0
1771005003.717567,185,738,0,0
1771005003.728293,130,732,0,0
1771005003.737928,267,763,0,0
1771005003.749745,465,722,0,0
1771005003.75911,487,791,0,0
1771005003.769994,378,704,0,0
1771005003.780187,409,860,0,0
1771005003.791285,431,847,0,0
1771005003.801121,409,827,0,0
1771005003.81191,541,779,0,0
1771005003.821821,557,798,0,0
1771005003.832695,553,775,0,0
1771005003.842134,542,819,0,0
1771005003.853602,536,830,0,0
1771005003.862896,653,923,0,0
1771005003.895348,866,953,0,0
1771005003.90524,938,914,0,0
1771005003.916463,917,895,0,0
