index,x,y
33.164121,67,212
33.199474,60,218
33.232872,60,219
33.268205,61,222
33.299342,59,222
33.331969,62,222
33.364188,71,224
33.399294,360,244
33.434619,400,248
33.466114,429,251
33.500641,451,253
33.533099,482,255
33.567431,497,259
33.595724,523,264
33.628333,593,279
33.66382,666,298
33.70039,708,312
33.730978,734,320
33.76245,753,327
33.79509,766,331
33.831388,775,331
33.865122,782,331
33.900241,820,331
33.931595,859,333
33.966631,899,333
34.000066,936,334
34.032763,957,335
34.064278,973,335
34.097808,980,336
34.132837,991,336
34.163132,990,335
34.199043,991,335
34.230271,993,336
34.261344,994,336
34.295245,1036,337
34.328949,1115,338
34.362705,1191,338
34.396925,1244,333
34.429838,1280,331
34.464426,1299,325
34.496429,1315,321
34.530683,1320,318
34.564904,1324,316
34.597417,1356,313
34.628297,1436,310
34.66042,1502,305
34.694903,1553,300
34.73276,1592,294
34.762522,1616,288
34.794526,1641,283
34.830643,1650,282
34.865483,1652,282
34.897747,1656,282
34.931907,1671,283
34.963965,1696,284
34.998378,1718,283
35.032634,1736,284
35.065164,1744,284
35.099115,1749,285
35.1284,1753,288
35.162649,1755,290
35.198807,1755,292
35.233268,1748,296
35.265687,929,292
35.296982,307,276
35.330636,301,291
35.365395,303,294
35.39657,301,297
35.429021,296,302
35.463606,278,305
35.495245,258,305
35.528911,239,306
35.563412,230,304
35.598027,223,303
35.630754,219,303
35.664466,216,303
35.695725,212,303
35.729039,214,303
35.763103,216,303
35.795583,217,303
35.830017,217,303
35.864844,231,305
35.898163,269,309
35.934337,325,314
35.965922,369,317
35.999021,401,318
36.031054,428,320
36.06496,455,321
36.099394,477,324
36.131315,493,325
36.165147,580,334
36.198424,694,348
36.231407,770,358
36.26372,818,365
36.296367,853,370
36.332903,872,373
36.363793,879,377
36.395366,873,379
36.428783,868,380
36.465258,880,383
36.499869,948,387
36.53207,1006,388
36.565422,1064,391
36.597923,1102,392
36.630521,1130,393
36.661583,1150,392
36.696349,1163,392
36.728151,1240,391
36.764711,1341,391
