timestamp,x,y,jump
21.873615,254,76,0
21.910947,232,76,0
21.951587,215,76,0
21.984319,208,76,0
22.016912,221,76,0
22.050026,229,76,0
22.081324,236,76,0
22.112371,243,76,0
22.14387,240,76,0
22.173452,237,76,0
22.202605,232,76,0
22.232517,228,76,0
22.264658,222,76,0
22.295962,219,76,0
22.331023,216,76,0
22.363456,212,76,0
22.395634,210,76,0
22.432453,209,76,0
22.465309,206,76,0
22.49642,201,76,0
22.532526,196,76,0
22.564959,192,76,0
22.598038,187,76,0
22.631896,184,76,0
22.662651,186,76,0
22.6965,186,76,0
22.727974,185,76,0
22.762796,185,76,0
22.793641,186,76,0
22.826929,184,76,0
22.859328,183,76,0
22.892527,181,76,0
22.926308,181,76,0
22.960206,182,76,0
22.993484,181,76,0
23.025947,181,76,0
23.061336,181,76,0
23.096607,179,76,0
23.130312,176,76,0
23.163815,175,76,0
23.195975,173,76,0
23.231412,173,76,0
23.262548,174,76,0
23.296491,180,76,0
23.331493,204,76,0
23.364705,228,76,0
23.398894,256,76,0
23.434853,277,76,0
23.46742,296,76,0
23.499203,310,76,0
23.532441,327,76,0
23.564084,331,76,0
23.59465,335,76,0
23.628735,339,76,0
23.661412,346,76,0
23.6933,350,76,0
23.727251,357,76,0
23.761501,356,76,0
23.798065,384,76,0
23.830675,470,76,0
23.865682,537,76,0
23.899264,591,76,0
23.933604,626,76,0
23.968797,655,76,0
23.999162,674,76,0
24.030257,691,76,0
24.066478,700,76,0
24.100068,700,76,0
24.128544,714,76,0
24.163689,779,76,0
24.199486,824,76,0
24.228905,852,76,0
24.262618,884,76,0
24.295191,906,76,0
24.326877,921,76,0
24.361697,999,76,0
24.395837,1075,76,0
24.431535,1151,76,0
24.462228,1193,76,0
24.497543,1224,76,0
24.527738,1239,76,0
24.560607,1332,76,0
24.595372,1463,76,0
24.627641,1534,76,0
24.662637,1577,76,0
24.698425,1611,76,0
24.728772,1625,76,0
24.767341,1631,76,0
24.799493,1638,76,0
24.831994,1638,76,0
24.86933,1660,76,0
24.899907,1669,76,0
24.930171,1676,76,0
24.964922,1684,76,0
24.999818,1688,76,0
25.030155,1693,76,0
25.064642,1698,76,0
25.09716,1704,76,0
25.130109,1713,76,0
25.163038,1723,76,0
25.197981,1734,76,0
25.229232,1745,76,0
25.264407,1761,76,0
25.299803,1770,76,0
25.330921,1773,76,0
25.365913,1783,76,0
25.398248,1287,76,0
25.43055,581,76,0
25.467337,295,76,0
25.499609,246,76,0
25.532458,215,76,0
25.563588,212,76,0
25.597223,196,76,0
25.63002,186,76,0
25.661582,181,76,0
25.696273,161,76,0
25.729655,143,76,0
25.763999,126,76,0
25.799187,114,76,0
25.83159,99,76,0
25.864947,97,76,0
25.897652,99,76,0
25.931117,104,76,0
25.964806,106,76,0
25.999159,108,76,0
26.032991,110,76,0
26.066789,110,76,0
26.100563,139,76,0
26.13224,200,76,0
26.163755,253,76,0
26.200703,307,76,0
26.231145,341,76,0
26.262042,371,76,0
26.297199,395,76,0
26.332043,494,76,0
26.365603,962,76,0
26.398618,957,76,0
26.429572,946,76,0
26.46615,937,76,0
26.497027,930,76,0
26.529769,925,76,0
26.562169,956,76,0
26.597367,1059,76,0
26.629944,1136,76,0
26.664022,1182,76,0
26.696875,1211,76,0
26.730354,1238,76,0
26.762877,1254,76,0
26.797272,1275,76,0
26.828604,1364,76,0
26.865565,1439,76,0
26.903032,1502,76,0
26.934692,1541,76,0
26.967655,1581,76,0
26.998848,1603,76,0
27.030189,1648,76,0
27.062804,1716,76,0
27.096362,1769,76,0
27.132319,1808,76,0
27.16343,1827,76,0
27.200536,1843,76,0
27.231591,1859,76,0
27.267091,1869,76,0
27.298706,1871,76,0
27.332802,1866,76,0
27.368528,1859,76,0
27.400944,1856,76,0
27.434833,1856,76,0
27.465829,1854,76,0
27.498353,1851,76,0
27.532017,1849,76,0
27.564804,1848,76,0
27.597629,1845,76,0
27.629958,1842,76,0
27.663948,1840,76,0
27.697378,1802,76,0
27.729949,899,76,0
27.763768,520,76,0
27.797189,457,76,0
27.834219,406,76,0
27.867735,373,76,0
27.898164,351,76,0
27.930405,299,76,0
27.968133,258,76,0
27.998674,238,76,0
28.031689,219,76,0
28.067275,203,76,0
28.099267,189,76,0
28.134557,181,76,0
28.164473,171,76,0
28.19856,164,76,0
28.228975,160,76,0
28.261583,157,76,0
28.294088,158,76,0
28.329263,152,76,0
28.362998,152,76,0
28.399281,152,76,0
28.432987,150,76,0
28.467059,147,76,0
