timestamp,x,y,jump
219.812669,1002,76,0
220.100471,441,76,0
220.13398,415,76,0
220.302862,300,76,0
220.368694,237,76,0
220.4019,194,76,0
220.43572,205,76,0
220.469115,190,76,0
220.502599,179,76,0
220.535933,164,76,0
220.569326,171,76,0
220.602345,170,76,0
220.636447,174,76,0
220.670206,181,76,0
220.704185,193,76,0
220.735907,221,76,0
220.770074,257,76,0
220.802985,263,76,0
220.83614,268,76,0
220.871141,263,76,0
220.902362,283,76,0
220.937485,295,76,0
220.971042,292,76,0
221.004605,302,76,0
221.039097,376,76,0
221.070331,438,76,0
221.104068,489,76,0
221.138722,515,76,0
221.173556,540,76,0
221.207459,571,76,0
221.241488,596,76,0
221.27353,600,76,0
221.306009,587,76,0
221.340287,585,76,0
221.374545,590,76,0
221.408003,584,76,0
221.440216,581,76,0
221.474103,630,76,0
221.50823,699,76,0
221.541434,747,76,0
221.574606,806,76,0
221.607095,847,76,0
221.641775,872,76,0
221.675529,901,76,0
221.706815,910,76,0
221.739596,917,76,0
221.774264,984,76,0
221.806872,1042,76,0
221.838497,1089,76,0
221.872556,1132,76,0
221.907078,1179,76,0
221.939937,1201,76,0
221.972457,1207,76,0
222.005597,1201,76,0
222.041386,1219,76,0
222.072907,1218,76,0
222.105001,1221,76,0
222.139525,1225,76,0
222.173154,1227,76,0
222.206393,1220,76,0
222.238913,1233,76,0
222.27205,1668,76,0
222.304922,1659,76,0
222.336871,1670,76,0
222.369441,1667,76,0
222.403949,1666,76,0
222.436691,1671,76,0
222.471109,1675,76,0
222.504767,1684,76,0
222.538309,1700,76,0
222.572095,1695,76,0
222.604973,1690,76,0
222.638974,1688,76,0
222.67304,1680,76,0
222.705979,1673,76,0
222.741323,1667,76,0
222.772588,1667,76,0
222.805421,1669,76,0
222.837834,1703,76,0
222.871168,1756,76,0
222.906357,1794,76,0
222.939205,1778,76,0
222.971805,1787,76,0
223.005559,1796,76,0
223.039015,1808,76,0
223.072093,1815,76,0
223.10537,1800,76,0
223.139322,769,76,0
223.172289,269,76,0
223.20597,146,76,0
223.239734,53,76,0
223.273091,53,76,0
223.306144,53,76,0
223.34096,53,76,0
223.373123,53,76,0
223.406806,53,76,0
223.438708,53,76,0
223.471773,53,76,0
223.504154,53,76,0
223.538723,53,76,0
223.572075,53,76,0
223.605274,59,76,0
223.638784,282,76,0
223.671646,310,76,0
223.706638,350,76,0
223.738984,369,76,0
223.771227,382,76,0
223.803439,388,76,0
223.836625,397,76,0
223.868543,412,76,0
223.902039,474,76,0
223.934655,504,76,0
223.968745,523,76,0
224.00176,566,76,0
224.036198,599,76,0
224.069367,610,76,0
224.102641,620,76,0
224.134918,623,76,0
224.169611,627,76,0
224.204109,692,76,0
224.237076,765,76,0
224.271133,816,76,0
224.304739,855,76,0
224.339112,898,76,0
224.372372,913,76,0
224.405902,921,76,0
224.439301,948,76,0
224.471877,947,76,0
224.506393,954,76,0
224.537223,960,76,0
224.570369,1025,76,0
224.602037,1095,76,0
224.636153,1145,76,0
224.667479,1168,76,0
224.702678,1223,76,0
224.735182,1241,76,0
224.768558,1244,76,0
224.800965,1276,76,0
224.835189,1310,76,0
224.869181,1307,76,0
224.903338,1346,76,0
224.935662,1430,76,0
224.970221,1540,76,0
225.004055,1619,76,0
225.038325,1658,76,0
225.072084,1691,76,0
225.107062,1705,76,0
225.138346,1731,76,0
225.171682,1736,76,0
225.204378,1727,76,0
225.238714,1762,76,0
225.272542,1796,76,0
225.307609,1812,76,0
225.340036,1824,76,0
225.373699,1829,76,0
225.406764,1835,76,0
225.439154,1836,76,0
225.471822,1838,76,0
225.505566,1847,76,0
225.539572,1847,76,0
225.57251,1848,76,0
225.605501,1843,76,0
225.639141,1844,76,0
225.672192,1842,76,0
225.706588,1841,76,0
225.741516,1844,76,0
225.773668,1852,76,0
225.807015,1866,76,0
225.840669,1871,76,0
225.871887,1871,76,0
226.235013,59,166,0
226.268933,63,166,0
226.304336,62,166,0
226.338874,62,166,0
226.371624,56,166,0
226.405072,55,166,0
226.438259,55,166,0
226.471206,57,166,0
226.505002,67,166,0
226.538582,77,166,0
226.571954,86,166,0
226.605219,80,166,0
226.638412,81,166,0
226.674546,86,166,0
226.707688,116,166,0
226.740779,130,166,0
226.773842,135,166,0
226.807309,128,166,0
226.841337,122,166,0
226.87416,124,166,0
