index,x,y
231.503754,1484,131
231.538121,1484,131
231.570101,22,89
231.604137,0,84
231.637355,0,86
231.67127,0,83
231.703005,0,86
231.736625,0,86
231.804343,17,97
231.870298,57,119
231.904931,88,122
231.971222,142,141
232.00464,170,146
232.038255,172,147
232.072707,466,172
232.106027,503,175
232.13996,788,192
232.174015,792,192
232.208628,793,193
232.242277,795,193
232.27754,790,191
232.310581,795,193
232.345957,806,193
232.378633,806,194
232.410294,813,195
232.443976,829,196
232.475575,829,196
232.508596,844,195
232.541974,862,194
232.573885,908,194
232.607321,934,191
232.638566,965,189
232.674783,985,185
232.707581,1016,181
232.74096,1048,175
232.776786,1047,175
232.808686,1047,171
232.841852,1045,168
232.874733,1056,168
232.909491,1248,161
232.940657,1250,154
232.973374,1254,147
233.00608,1263,136
233.03958,1253,139
233.070305,1256,136
233.103543,1257,140
233.135393,1260,141
233.16681,1625,134
233.200707,1627,138
233.236562,1666,144
233.268617,1713,143
233.301937,1751,144
233.33643,1775,145
233.369922,1778,148
233.402602,1787,150
233.439666,1798,151
233.474375,1780,153
233.508605,1236,161
233.54643,962,155
233.577772,903,160
233.612019,121,154
233.642798,70,150
233.675902,0,117
233.707671,0,125
233.741407,0,123
233.774503,0,125
233.80521,0,123
233.839131,0,123
233.872836,0,122
233.906733,0,122
233.939375,0,126
233.972737,14,132
234.00644,75,141
234.037616,119,149
234.071172,161,160
234.104004,180,166
234.136173,236,188
234.170376,296,198
234.204555,286,198
234.237596,343,218
234.269385,534,233
234.303239,530,235
234.336504,556,234
234.36863,542,234
234.402877,532,231
234.435886,532,230
234.470483,527,229
234.5037,527,229
234.537443,756,238
234.570305,1024,248
234.603795,1256,251
234.63851,1269,249
234.6711,1283,243
234.705156,1294,238
234.739329,1287,234
234.77384,1281,233
234.807259,1286,224
234.841035,1544,218
234.874358,1548,214
234.908848,1547,208
234.940648,1544,204
234.974717,1542,201
235.008016,1552,198
235.040244,1567,196
235.073655,1568,191
235.10649,1804,187
235.141517,1806,188
235.174049,1413,198
235.208419,1118,197
235.242223,1053,204
235.275076,836,187
235.30529,840,190
235.339131,844,191
235.371516,844,192
235.404714,130,186
235.437634,134,185
235.471083,116,183
235.504276,108,182
235.536481,104,183
235.570163,105,186
235.603884,102,186
235.638045,96,187
235.671006,101,189
235.703188,104,194
235.737132,132,209
235.769206,173,218
235.802512,212,226
235.837049,235,230
235.868701,254,235
235.903757,324,241
235.937684,353,243
235.971248,374,250
236.004151,397,253
236.037849,420,254
236.070817,439,254
236.105208,444,253
236.137169,453,254
236.170657,495,257
236.203797,547,259
236.238942,599,261
236.270756,615,262
236.303514,650,263
236.337476,992,280
236.369752,1006,283
236.404225,1008,282
236.438799,1003,281
236.471656,1192,280
236.504294,1220,280
236.537286,1247,274
236.570881,1240,270
236.605506,1245,261
236.638853,1550,259
236.673136,1563,258
236.704324,1566,256
236.738863,1577,248
236.773466,1298,251
236.805549,1002,241
236.838325,942,250
236.870534,894,256
236.903893,825,269
236.936432,814,280
236.968778,799,295
237.003806,88,272
237.035411,93,277
237.068937,44,272
237.101649,35,270
237.135107,45,269
237.168799,33,266
237.202946,51,260
237.236764,52,261
237.269717,60,266
237.302625,70,276
237.337324,99,292
237.36952,146,303
237.405336,216,318
237.43742,248,319
237.471009,233,319
237.506182,271,323
237.53974,277,324
237.573487,277,327
237.607417,279,337
237.640015,302,350
237.672341,340,353
237.705601,368,352
237.737066,386,350
237.770729,409,350
237.80509,444,351
237.836874,465,348
237.870087,720,356
237.902472,721,353
237.936372,773,352
237.970513,794,344
238.00403,825,339
238.037304,878,341
238.072138,932,342
238.104479,926,341
238.137347,917,340
238.17198,912,339
238.203312,943,335
238.237356,999,333
238.270419,1007,331
238.304208,1202,331
238.337369,1214,332
238.368245,1247,334
238.402073,1259,332
238.435262,1260,333
238.467768,1351,337
238.501704,1447,339
238.535462,1495,337
238.568677,1544,341
238.602679,1580,339
238.637354,1603,338
238.670702,1657,336
238.703777,1668,334
238.737044,1646,332
238.770175,1241,332
238.803889,877,317
238.838708,834,316
238.874093,99,306
238.907085,112,306
238.940067,76,305
238.973941,86,305
239.005952,64,300
239.040929,66,300
239.074347,77,302
239.107427,82,311
239.139674,82,311
239.172222,93,312
239.204121,132,314
239.236173,145,317
239.270388,156,325
239.301404,208,336
239.335153,438,359
239.36939,433,363
239.401109,435,370
239.434165,441,381
239.468347,522,395
239.500301,573,397
239.535539,606,402
239.567806,706,409
239.603941,705,411
239.63615,748,412
239.67045,806,412
239.705421,824,412
239.737409,824,412
239.772123,1349,432
239.80367,1342,437
239.837246,1325,443
