timestamp,x,y
1770684383.677575,381,658
1770684383.690426,468,699
1770684383.700829,391,621
1770684383.712959,410,665
1770684383.7234,392,612
1770684383.736377,422,629
1770684383.746798,455,607
1770684383.760427,447,624
1770684383.771169,465,639
1770684383.782841,456,614
1770684383.793101,418,582
1770684383.804501,480,577
1770684383.815128,406,611
1770684383.826967,500,590
1770684383.836684,439,610
1770684383.849216,488,596
1770684383.931543,738,572
1770684383.944341,659,536
1770684383.954657,597,549
1770684383.967235,656,514
1770684383.97747,594,541
1770684383.989755,681,514
1770684384.000815,617,466
1770684384.012944,630,477
1770684384.024077,657,512
1770684384.035726,652,488
1770684384.046625,658,513
1770684384.061443,803,553
1770684384.071843,825,537
1770684384.084558,763,518
1770684384.095302,824,522
1770684384.107789,764,507
1770684384.118189,827,554
1770684384.132373,803,517
1770684384.142455,849,477
1770684384.155174,906,531
1770684384.170534,1036,532
1770684384.186173,1034,579
1770684384.198423,935,508
1770684384.211019,1039,561
1770684384.221022,1011,551
1770684384.232337,1016,526
1770684384.242158,994,485
1770684384.254727,1026,495
1770684384.264495,1150,563
1770684384.276037,1172,485
1770684384.285368,1198,504
1770684384.297303,1221,503
1770684384.306459,1144,506
1770684384.317876,1181,466
1770684384.327903,1189,558
1770684384.339228,1232,493
1770684384.348662,1127,471
1770684384.360905,1165,535
1770684384.37091,1349,475
1770684384.382176,1327,508
1770684384.391948,1367,490
1770684384.403591,1380,495
1770684384.412992,1326,519
1770684384.425481,1358,497
1770684384.435042,1375,510
1770684384.4475,1313,541
1770684384.458056,1622,472
1770684384.470614,1673,457
1770684384.480993,1608,482
1770684384.494036,1620,487
1770684384.503457,1569,505
1770684384.51524,1657,480
1770684384.5251,1637,465
1770684384.536519,1864,432
1770684384.546153,1838,460
1770684384.558523,1831,477
1770684384.568156,1816,467
1770684384.579751,1867,459
1770684384.589268,1834,461
1770684384.60174,1887,476
1770684384.611268,1856,481
1770684384.62297,1809,473
1770684384.633857,1837,473
1770684384.645989,1883,459
1770684384.655778,1927,458
1770684384.667559,1830,464
1770684384.677752,1896,498
1770684384.688957,1957,490
1770684384.698816,1826,485
1770684384.710502,1932,483
1770684384.720338,1812,481
1770684384.731687,1954,493
1770684384.74157,1884,470
1770684384.7531,1734,469
1770684384.762018,1148,495
1770684384.773037,694,597
1770684384.78238,371,731
1770684384.793277,388,808
1770684384.802697,476,757
1770684384.813473,517,741
1770684384.823076,448,747
1770684384.834736,443,762
1770684384.843695,471,739
1770684384.855808,498,731
1770684384.865149,504,740
1770684384.876971,457,713
1770684384.886713,543,701
1770684384.898706,534,723
1770684384.907887,396,717
1770684384.919003,499,710
1770684384.928642,516,749
1770684384.940476,425,691
1770684384.950045,506,741
1770684384.961892,420,693
1770684384.971096,643,672
1770684384.983395,577,632
1770684384.993145,656,607
1770684385.07631,706,618
1770684385.086262,584,646
1770684385.098746,653,639
1770684385.108433,616,644
1770684385.12172,643,651
1770684385.131962,794,697
1770684385.144621,914,572
1770684385.154909,821,574
1770684385.167595,772,574
1770684385.177666,861,603
1770684385.190177,791,580
1770684385.200823,914,600
1770684385.213827,846,610
1770684385.224631,840,594
1770684385.237082,894,598
1770684385.247008,887,583
1770684385.258672,933,613
1770684385.268714,877,574
1770684385.28132,902,594
1770684385.292214,849,597
1770684385.303563,858,595
1770684385.314338,867,588
1770684385.325932,884,615
1770684385.335616,900,604
1770684385.347466,913,630
1770684385.35692,1021,566
1770684385.368957,1070,602
1770684385.378425,1032,527
1770684385.390689,1092,549
1770684385.400051,1097,518
1770684385.411261,1131,579
1770684385.42145,1168,537
1770684385.433015,1174,612
1770684385.442849,1312,607
1770684385.454834,1285,623
1770684385.464884,1318,610
1770684385.476257,1242,628
1770684385.48573,1318,588
1770684385.497611,1265,596
1770684385.507747,1247,600
1770684385.519432,1317,621
1770684385.529256,1426,635
1770684385.541683,1537,601
1770684385.551928,1520,621
1770684385.564408,1503,595
1770684385.574435,1532,642
1770684385.585912,1542,671
1770684385.595515,1583,653
1770684385.607506,1835,587
1770684385.617461,1841,575
1770684385.62999,1907,576
1770684385.640089,1881,553
