timestamp,x,y,jump,saccade
1771000057.872174,412,213,0,0
1771000057.883858,193,282,0,0
1771000057.891956,210,308,0,0
1771000057.900555,194,310,0,0
1771000057.910255,152,327,0,0
1771000057.922314,112,304,0,0
1771000057.933136,131,367,0,0
1771000057.944211,192,318,0,0
1771000057.953696,230,341,0,0
1771000057.965456,217,307,0,0
1771000057.974885,182,355,0,0
1771000057.986267,120,298,0,0
1771000057.995472,133,311,0,0
1771000058.006635,87,363,0,0
1771000058.015831,96,360,0,0
1771000058.027673,70,387,0,0
1771000058.036692,124,342,0,0
1771000058.048613,55,376,0,0
1771000058.058385,140,356,0,0
1771000058.069863,113,341,0,0
1771000058.079815,176,340,0,0
1771000058.091606,108,375,0,0
1771000058.101285,167,310,0,0
1771000058.113175,191,330,0,0
1771000058.124688,119,362,0,0
1771000058.136468,213,329,0,0
1771000058.145807,192,312,0,0
1771000058.158577,211,300,0,0
1771000058.168475,234,246,0,0
1771000058.180255,193,237,0,0
1771000058.189491,171,273,0,0
1771000058.201237,181,261,0,0
1771000058.210568,234,284,0,0
1771000058.222228,164,245,0,0
1771000058.232017,168,266,0,0
1771000058.243636,88,286,0,0
1771000058.253368,100,278,0,0
1771000058.265857,190,217,0,0
1771000058.27612,135,265,0,0
1771000058.287415,53,269,0,0
1771000058.297204,98,260,0,0
1771000058.309012,116,240,0,0
1771000058.318367,51,242,0,0
1771000058.330598,130,241,0,0
1771000058.339879,133,266,0,0
1771000058.351843,70,278,0,0
1771000058.361133,101,250,0,0
1771000058.37295,214,223,0,0
1771000058.382787,247,219,0,0
1771000058.3944,226,229,0,0
1771000058.403993,280,229,0,0
1771000058.416203,242,255,0,0
1771000058.425929,283,249,0,0
1771000058.437149,335,246,0,0
1771000058.446702,299,243,0,0
1771000058.459885,473,228,0,0
1771000058.469424,356,236,0,0
1771000058.481922,400,223,0,0
1771000058.492143,375,239,0,0
1771000058.503891,324,272,0,0
1771000058.512989,413,249,0,1
1771000058.525417,456,261,0,1
1771000058.535414,435,261,0,1
1771000058.588667,803,335,0,1
1771000058.598011,719,289,0,0
1771000058.610229,637,223,0,0
1771000058.619193,675,240,0,0
1771000058.630803,656,253,0,0
1771000058.640389,676,222,0,0
1771000058.652244,669,207,0,0
1771000058.66161,737,158,0,0
1771000058.673438,771,181,0,0
1771000058.683644,586,193,0,0
1771000058.694699,653,181,0,0
1771000058.703585,609,128,0,0
1771000058.716112,669,139,0,0
1771000058.727355,650,168,0,0
1771000058.739431,764,117,0,0
1771000058.748685,768,115,0,0
1771000058.761057,789,153,0,0
1771000058.77047,836,127,0,0
1771000058.78174,854,174,0,0
1771000058.791181,812,170,0,0
1771000058.802533,836,165,0,0
1771000058.812029,741,191,0,0
1771000058.823663,723,195,0,0
1771000058.833056,717,165,0,0
1771000058.844625,750,168,0,0
1771000058.854008,751,143,0,0
1771000058.866431,686,165,0,0
1771000058.941703,699,200,0,0
1771000058.953806,785,218,0,0
1771000058.963428,918,186,0,0
1771000058.975053,1064,134,0,0
1771000058.984443,965,162,0,0
1771000058.995814,862,188,0,0
1771000059.005762,1023,171,0,0
1771000059.018473,909,202,0,0
1771000059.027875,900,185,0,0
1771000059.03993,914,175,0,0
1771000059.04965,959,193,0,0
1771000059.060505,1006,156,0,0
1771000059.069963,1016,181,0,0
