timestamp,x,y
1771000060.959472,807,431
1771000060.969283,856,405
1771000060.980636,836,369
1771000060.98997,780,395
1771000061.000722,883,415
1771000061.010901,813,378
1771000061.02247,827,406
1771000061.031903,842,394
1771000061.111524,1161,371
1771000061.121001,1096,341
1771000061.133463,1051,342
1771000061.14236,1076,328
1771000061.154277,1077,324
1771000061.163803,1071,312
1771000061.175147,1100,328
1771000061.185498,1020,334
1771000061.197318,1016,323
1771000061.206643,1110,331
1771000061.217669,1164,330
1771000061.227186,1231,357
1771000061.238805,1210,378
1771000061.248312,1248,363
1771000061.260331,1184,369
1771000061.269965,1267,375
1771000061.28156,1207,360
1771000061.290644,1214,355
1771000061.303168,1271,363
1771000061.312351,1188,351
1771000061.323981,1199,368
1771000061.333853,1092,365
1771000061.345709,1305,356
1771000061.354694,1310,341
1771000061.366061,1353,331
1771000061.375885,1309,330
1771000061.387704,1308,336
1771000061.397074,1327,319
1771000061.409221,1316,346
1771000061.419086,1333,324
1771000061.432311,1306,334
1771000061.441515,1344,315
1771000061.453095,1281,321
1771000061.462222,1429,346
1771000061.474416,1289,340
1771000061.484709,1376,313
1771000061.496193,1397,361
1771000061.505313,1526,322
1771000061.516936,1223,337
1771000061.526291,1480,340
1771000061.538038,1103,353
1771000061.547039,1273,304
1771000061.559651,1475,353
1771000061.56899,1422,320
1771000061.581355,1411,351
1771000061.591823,1467,363
1771000061.603027,1405,347
1771000061.612914,1403,338
1771000061.624069,1357,357
1771000061.634051,1355,324
1771000061.644998,1325,345
1771000061.654151,1234,346
1771000061.666629,1346,343
1771000061.676164,1267,355
1771000061.687799,1377,404
1771000061.697422,1465,401
1771000061.709843,1452,397
1771000061.720329,1388,386
1771000061.731749,1448,375
1771000061.743125,1518,394
1771000061.756021,1458,394
1771000061.765501,1483,407
1771000061.777272,1441,404
1771000061.787496,1425,404
1771000061.799,1613,446
1771000061.808127,1658,438
1771000061.820322,1634,442
1771000061.830287,1547,417
1771000061.841685,1652,432
1771000061.850752,1597,415
1771000061.862784,1545,410
1771000061.872277,1608,424
1771000061.883798,1612,415
1771000061.894258,1560,411
1771000061.90494,1711,420
1771000061.914433,1754,424
1771000061.925913,1604,411
1771000061.93662,1743,409
1771000061.948278,1727,408
1771000061.957639,1749,418
1771000061.970078,1699,382
1771000061.979217,1741,417
1771000061.991417,1677,399
1771000062.001141,1727,408
1771000062.013724,1759,426
1771000062.024228,1670,409
1771000062.035437,1766,439
1771000062.045382,1669,429
1771000062.057892,1716,435
1771000062.067364,1695,439
1771000062.07895,1792,448
1771000062.089098,1674,454
1771000062.100519,1816,455
1771000062.110132,1794,419
1771000062.121947,1868,439
1771000062.131506,1864,446
1771000062.142952,1865,438
1771000062.152351,1656,436
1771000062.164127,1695,436
1771000062.173599,1704,408
1771000062.18447,1600,423
1771000062.264388,1198,579
1771000062.275475,1059,604
